Ticket ID,Created Time,Resolved Time,Priority,Category,Department,Description
TCKT00001,2023-02-18 16:00:00,2023-02-21 07:00:00,Low,Software,Support,System crash during deployment
TCKT00002,2023-01-08 10:00:00,2023-01-10 06:00:00,High,Software,IT,Requesting new mouse and keyboard
TCKT00003,2023-03-20 11:00:00,2023-03-21 22:00:00,High,Network,Support,System crash during deployment
TCKT00004,2023-01-06 08:00:00,2023-01-07 20:00:00,High,Software,Support,Bug found in internal app
TCKT00005,2023-01-25 21:00:00,2023-01-28 06:00:00,High,Hardware,HR,System crash during deployment
TCKT00006,2023-02-28 08:00:00,2023-03-02 08:00:00,Medium,Bug Report,Engineering,Laptop running slow
TCKT00007,2023-02-05 21:00:00,2023-02-07 07:00:00,Urgent,Network,Finance,Forgot Windows password
TCKT00008,2023-01-11 10:00:00,2023-01-12 00:00:00,Urgent,Software,Engineering,Requesting new mouse and keyboard
TCKT00009,2023-02-24 23:00:00,2023-02-26 18:00:00,Medium,Access Request,Support,Outlook not sending emails
TCKT00010,2023-03-22 10:00:00,2023-03-24 11:00:00,Medium,Network,Support,Bug found in internal app
TCKT00011,2023-01-29 02:00:00,2023-01-29 05:00:00,Low,Access Request,Finance,WiFi is unstable in the office
TCKT00012,2023-02-01 14:00:00,2023-02-03 13:00:00,Urgent,Access Request,Support,Bug found in internal app
TCKT00013,2023-02-17 09:00:00,2023-02-20 09:00:00,Low,Bug Report,Finance,Forgot Windows password
TCKT00014,2023-02-02 15:00:00,2023-02-03 00:00:00,Urgent,Hardware,Support,Forgot Windows password
TCKT00015,2023-01-09 06:00:00,2023-01-10 16:00:00,High,Access Request,Finance,Need access to Jira
TCKT00016,2023-01-24 20:00:00,2023-01-27 03:00:00,Urgent,Bug Report,IT,WiFi is unstable in the office
TCKT00017,2023-03-04 06:00:00,2023-03-06 16:00:00,Low,Hardware,IT,Outlook not sending emails
TCKT00018,2023-01-03 00:00:00,2023-01-04 02:00:00,Medium,Software,Finance,Requesting new mouse and keyboard
TCKT00019,2023-03-23 12:00:00,2023-03-25 09:00:00,Medium,Software,HR,Need access to Jira
TCKT00020,2023-02-01 13:00:00,2023-02-02 20:00:00,Urgent,Access Request,Finance,Bug found in internal app
TCKT00021,2023-01-05 03:00:00,2023-01-05 14:00:00,High,Hardware,HR,Laptop not booting up
TCKT00022,2023-01-23 18:00:00,2023-01-26 14:00:00,Urgent,Access Request,IT,Cannot connect to VPN
TCKT00023,2023-03-18 09:00:00,2023-03-19 09:00:00,Medium,Network,Finance,Bug found in internal app
TCKT00024,2023-01-03 00:00:00,2023-01-04 15:00:00,Medium,Hardware,Support,Need access to Jira
TCKT00025,2023-03-12 11:00:00,2023-03-12 14:00:00,High,Network,Support,Requesting new mouse and keyboard
TCKT00026,2023-02-27 17:00:00,2023-03-01 09:00:00,High,Network,IT,Need access to Jira
TCKT00027,2023-01-16 12:00:00,2023-01-18 21:00:00,Medium,Software,Engineering,Requesting new mouse and keyboard
TCKT00028,2023-02-10 18:00:00,2023-02-11 10:00:00,High,Hardware,Support,Requesting new mouse and keyboard
TCKT00029,2023-02-23 20:00:00,2023-02-25 00:00:00,Low,Network,Engineering,Laptop not booting up
TCKT00030,2023-02-08 20:00:00,2023-02-10 09:00:00,Low,Bug Report,Finance,Laptop not booting up
TCKT00031,2023-03-05 16:00:00,2023-03-08 00:00:00,Medium,Hardware,Engineering,System crash during deployment
TCKT00032,2023-02-19 20:00:00,2023-02-22 15:00:00,Low,Access Request,Support,Forgot Windows password
TCKT00033,2023-02-19 02:00:00,2023-02-22 01:00:00,High,Bug Report,Finance,Need access to Jira
TCKT00034,2023-01-15 06:00:00,2023-01-15 07:00:00,Low,Software,HR,Outlook not sending emails
TCKT00035,2023-01-23 17:00:00,2023-01-25 22:00:00,High,Access Request,Engineering,WiFi is unstable in the office
TCKT00036,2023-02-11 23:00:00,2023-02-14 23:00:00,Low,Bug Report,IT,Cannot connect to VPN
TCKT00037,2023-02-18 09:00:00,2023-02-20 15:00:00,Low,Bug Report,IT,Bug found in internal app
TCKT00038,2023-02-27 14:00:00,2023-03-01 08:00:00,Low,Hardware,Support,Bug found in internal app
TCKT00039,2023-02-09 19:00:00,2023-02-11 05:00:00,High,Hardware,Engineering,Laptop not booting up
TCKT00040,2023-02-18 20:00:00,2023-02-19 02:00:00,Medium,Access Request,IT,Bug found in internal app
TCKT00041,2023-01-10 12:00:00,2023-01-11 00:00:00,Urgent,Hardware,Engineering,Laptop not booting up
TCKT00042,2023-01-15 01:00:00,2023-01-15 05:00:00,High,Hardware,HR,Laptop running slow
TCKT00043,2023-03-19 14:00:00,2023-03-19 18:00:00,High,Bug Report,HR,WiFi is unstable in the office
TCKT00044,2023-02-06 01:00:00,2023-02-07 13:00:00,Urgent,Hardware,IT,Bug found in internal app
TCKT00045,2023-01-23 02:00:00,2023-01-24 15:00:00,Urgent,Network,Engineering,WiFi is unstable in the office
TCKT00046,2023-03-03 04:00:00,2023-03-05 03:00:00,Urgent,Software,HR,Outlook not sending emails
TCKT00047,2023-02-22 09:00:00,2023-02-24 09:00:00,Urgent,Bug Report,Engineering,Bug found in internal app
TCKT00048,2023-02-28 12:00:00,2023-03-01 02:00:00,Urgent,Network,Support,Requesting new mouse and keyboard
TCKT00049,2023-01-31 12:00:00,2023-01-31 15:00:00,Low,Bug Report,HR,Requesting new mouse and keyboard
TCKT00050,2023-01-09 13:00:00,2023-01-10 18:00:00,High,Hardware,HR,Cannot connect to VPN
TCKT00051,2023-01-23 22:00:00,2023-01-24 14:00:00,High,Access Request,Finance,Laptop not booting up
TCKT00052,2023-02-01 19:00:00,2023-02-04 15:00:00,High,Access Request,IT,WiFi is unstable in the office
TCKT00053,2023-03-22 06:00:00,2023-03-24 14:00:00,Low,Hardware,Engineering,System crash during deployment
TCKT00054,2023-01-13 23:00:00,2023-01-15 08:00:00,Medium,Software,Support,Outlook not sending emails
TCKT00055,2023-03-14 12:00:00,2023-03-15 17:00:00,Low,Software,Support,WiFi is unstable in the office
TCKT00056,2023-02-01 09:00:00,2023-02-01 19:00:00,Medium,Network,Support,Outlook not sending emails
TCKT00057,2023-03-07 12:00:00,2023-03-08 08:00:00,High,Hardware,Finance,System crash during deployment
TCKT00058,2023-02-08 17:00:00,2023-02-10 19:00:00,Urgent,Network,Support,Need access to Jira
TCKT00059,2023-02-06 21:00:00,2023-02-09 07:00:00,High,Software,Engineering,Laptop not booting up
TCKT00060,2023-01-18 11:00:00,2023-01-20 09:00:00,Low,Bug Report,HR,WiFi is unstable in the office
TCKT00061,2023-03-11 05:00:00,2023-03-12 16:00:00,Medium,Software,Finance,Forgot Windows password
TCKT00062,2023-03-01 07:00:00,2023-03-01 16:00:00,Medium,Access Request,Finance,Need access to Jira
TCKT00063,2023-02-20 11:00:00,2023-02-20 17:00:00,Urgent,Software,IT,Need access to Jira
TCKT00064,2023-01-05 18:00:00,2023-01-08 04:00:00,Medium,Hardware,Engineering,Outlook not sending emails
TCKT00065,2023-01-08 08:00:00,2023-01-10 12:00:00,Low,Access Request,IT,System crash during deployment
TCKT00066,2023-01-29 17:00:00,2023-01-31 13:00:00,High,Bug Report,Finance,Bug found in internal app
TCKT00067,2023-03-16 16:00:00,2023-03-16 20:00:00,Medium,Access Request,Engineering,Bug found in internal app
TCKT00068,2023-03-09 17:00:00,2023-03-11 23:00:00,Urgent,Network,HR,Laptop not booting up
TCKT00069,2023-01-25 12:00:00,2023-01-27 17:00:00,Low,Hardware,Engineering,Laptop running slow
TCKT00070,2023-01-25 12:00:00,2023-01-25 18:00:00,High,Hardware,Engineering,Laptop not booting up
TCKT00071,2023-01-25 16:00:00,2023-01-28 06:00:00,High,Software,HR,Requesting new mouse and keyboard
TCKT00072,2023-03-09 10:00:00,2023-03-10 21:00:00,Urgent,Network,Support,System crash during deployment
TCKT00073,2023-01-19 11:00:00,2023-01-21 14:00:00,Medium,Access Request,Support,WiFi is unstable in the office
TCKT00074,2023-03-08 18:00:00,2023-03-11 07:00:00,Low,Bug Report,IT,Need access to Jira
TCKT00075,2023-02-10 23:00:00,2023-02-12 07:00:00,Urgent,Access Request,IT,Laptop not booting up
TCKT00076,2023-02-03 17:00:00,2023-02-05 19:00:00,Urgent,Bug Report,Engineering,Bug found in internal app
TCKT00077,2023-02-24 03:00:00,2023-02-25 19:00:00,High,Software,IT,Outlook not sending emails
TCKT00078,2023-03-18 04:00:00,2023-03-20 11:00:00,Medium,Bug Report,Engineering,Laptop not booting up
TCKT00079,2023-02-23 08:00:00,2023-02-25 23:00:00,Medium,Access Request,Support,Forgot Windows password
TCKT00080,2023-01-02 06:00:00,2023-01-03 09:00:00,Low,Bug Report,IT,Cannot connect to VPN
TCKT00081,2023-02-05 07:00:00,2023-02-06 15:00:00,High,Network,HR,Bug found in internal app
TCKT00082,2023-03-09 13:00:00,2023-03-10 23:00:00,High,Network,IT,Laptop not booting up
TCKT00083,2023-02-26 17:00:00,2023-02-27 09:00:00,Low,Access Request,HR,Cannot connect to VPN
TCKT00084,2023-02-26 07:00:00,2023-02-28 00:00:00,Low,Bug Report,Engineering,WiFi is unstable in the office
TCKT00085,2023-01-26 17:00:00,2023-01-29 01:00:00,High,Network,Finance,Cannot connect to VPN
TCKT00086,2023-02-25 09:00:00,2023-02-27 07:00:00,Medium,Hardware,IT,Bug found in internal app
TCKT00087,2023-02-03 01:00:00,2023-02-04 08:00:00,Urgent,Hardware,IT,WiFi is unstable in the office
TCKT00088,2023-01-28 09:00:00,2023-01-31 05:00:00,Low,Access Request,Support,Requesting new mouse and keyboard
TCKT00089,2023-01-14 19:00:00,2023-01-15 20:00:00,High,Hardware,Support,WiFi is unstable in the office
TCKT00090,2023-01-27 17:00:00,2023-01-29 17:00:00,Low,Bug Report,Finance,Need access to Jira
TCKT00091,2023-03-09 10:00:00,2023-03-09 21:00:00,Medium,Software,Finance,Forgot Windows password
TCKT00092,2023-01-18 05:00:00,2023-01-20 14:00:00,Medium,Network,Engineering,System crash during deployment
TCKT00093,2023-03-01 18:00:00,2023-03-03 18:00:00,Low,Hardware,IT,Requesting new mouse and keyboard
TCKT00094,2023-01-06 13:00:00,2023-01-08 20:00:00,Low,Access Request,HR,Requesting new mouse and keyboard
TCKT00095,2023-02-19 21:00:00,2023-02-22 17:00:00,Medium,Software,Engineering,Bug found in internal app
TCKT00096,2023-03-02 14:00:00,2023-03-04 22:00:00,Medium,Software,HR,Outlook not sending emails
TCKT00097,2023-03-04 03:00:00,2023-03-05 03:00:00,Medium,Access Request,IT,WiFi is unstable in the office
TCKT00098,2023-01-02 22:00:00,2023-01-04 18:00:00,Low,Software,IT,Requesting new mouse and keyboard
TCKT00099,2023-01-27 00:00:00,2023-01-29 15:00:00,High,Network,Finance,WiFi is unstable in the office
TCKT00100,2023-03-03 15:00:00,2023-03-03 23:00:00,Low,Hardware,IT,System crash during deployment
TCKT00101,2023-01-10 05:00:00,2023-01-10 22:00:00,Urgent,Bug Report,HR,Need access to Jira
TCKT00102,2023-02-21 06:00:00,2023-02-24 04:00:00,Medium,Network,HR,WiFi is unstable in the office
TCKT00103,2023-03-14 21:00:00,2023-03-16 09:00:00,High,Bug Report,Support,System crash during deployment
TCKT00104,2023-01-04 02:00:00,2023-01-06 03:00:00,Medium,Bug Report,Support,Need access to Jira
TCKT00105,2023-01-09 17:00:00,2023-01-10 12:00:00,Medium,Network,Finance,Requesting new mouse and keyboard
TCKT00106,2023-03-05 23:00:00,2023-03-06 02:00:00,High,Software,Finance,Laptop not booting up
TCKT00107,2023-03-22 08:00:00,2023-03-23 03:00:00,Low,Hardware,HR,WiFi is unstable in the office
TCKT00108,2023-02-22 16:00:00,2023-02-25 02:00:00,Low,Network,Finance,Outlook not sending emails
TCKT00109,2023-01-31 21:00:00,2023-02-03 04:00:00,High,Hardware,Engineering,Requesting new mouse and keyboard
TCKT00110,2023-02-10 19:00:00,2023-02-12 11:00:00,High,Hardware,Finance,Bug found in internal app
TCKT00111,2023-01-28 10:00:00,2023-01-31 03:00:00,Medium,Hardware,Engineering,Forgot Windows password
TCKT00112,2023-03-10 20:00:00,2023-03-10 23:00:00,High,Bug Report,Finance,Bug found in internal app
TCKT00113,2023-01-04 06:00:00,2023-01-07 06:00:00,Medium,Bug Report,IT,Outlook not sending emails
TCKT00114,2023-02-20 11:00:00,2023-02-20 14:00:00,Medium,Software,Finance,Bug found in internal app
TCKT00115,2023-01-01 22:00:00,2023-01-04 08:00:00,High,Bug Report,Support,Laptop not booting up
TCKT00116,2023-03-08 09:00:00,2023-03-09 06:00:00,Urgent,Software,Finance,Outlook not sending emails
TCKT00117,2023-03-07 00:00:00,2023-03-09 01:00:00,High,Access Request,HR,Forgot Windows password
TCKT00118,2023-01-03 22:00:00,2023-01-04 21:00:00,Medium,Bug Report,Finance,Bug found in internal app
TCKT00119,2023-02-23 10:00:00,2023-02-24 19:00:00,Urgent,Access Request,Finance,WiFi is unstable in the office
TCKT00120,2023-01-06 11:00:00,2023-01-08 15:00:00,Low,Network,Support,Forgot Windows password
TCKT00121,2023-01-14 11:00:00,2023-01-15 02:00:00,High,Network,Support,Cannot connect to VPN
TCKT00122,2023-03-16 16:00:00,2023-03-17 03:00:00,Low,Bug Report,Engineering,Cannot connect to VPN
TCKT00123,2023-01-15 07:00:00,2023-01-16 19:00:00,High,Software,Finance,Outlook not sending emails
TCKT00124,2023-01-22 05:00:00,2023-01-24 14:00:00,Medium,Access Request,Engineering,WiFi is unstable in the office
TCKT00125,2023-03-22 22:00:00,2023-03-24 19:00:00,Low,Access Request,IT,Requesting new mouse and keyboard
TCKT00126,2023-01-06 07:00:00,2023-01-08 06:00:00,Low,Access Request,HR,Need access to Jira
TCKT00127,2023-03-06 13:00:00,2023-03-06 17:00:00,Medium,Software,IT,Outlook not sending emails
TCKT00128,2023-02-13 21:00:00,2023-02-15 15:00:00,Urgent,Network,Finance,Bug found in internal app
TCKT00129,2023-02-09 02:00:00,2023-02-10 02:00:00,Low,Hardware,HR,System crash during deployment
TCKT00130,2023-01-15 13:00:00,2023-01-18 13:00:00,High,Software,IT,Need access to Jira
TCKT00131,2023-01-09 21:00:00,2023-01-11 08:00:00,Urgent,Hardware,IT,Bug found in internal app
TCKT00132,2023-03-24 15:00:00,2023-03-27 03:00:00,Low,Software,Finance,Bug found in internal app
TCKT00133,2023-02-09 16:00:00,2023-02-11 14:00:00,Low,Network,Finance,Need access to Jira
TCKT00134,2023-02-02 11:00:00,2023-02-02 14:00:00,Medium,Bug Report,Finance,Cannot connect to VPN
TCKT00135,2023-03-10 03:00:00,2023-03-11 19:00:00,Urgent,Hardware,IT,Laptop running slow
TCKT00136,2023-01-10 22:00:00,2023-01-12 19:00:00,High,Network,Finance,Forgot Windows password
TCKT00137,2023-03-06 03:00:00,2023-03-06 15:00:00,Urgent,Network,HR,WiFi is unstable in the office
TCKT00138,2023-02-19 00:00:00,2023-02-21 17:00:00,Medium,Bug Report,IT,Need access to Jira
TCKT00139,2023-03-24 00:00:00,2023-03-25 07:00:00,Urgent,Software,IT,System crash during deployment
TCKT00140,2023-02-05 04:00:00,2023-02-07 00:00:00,Urgent,Network,Finance,WiFi is unstable in the office
TCKT00141,2023-01-19 17:00:00,2023-01-20 12:00:00,Medium,Software,Engineering,Forgot Windows password
TCKT00142,2023-02-26 11:00:00,2023-02-28 14:00:00,Medium,Hardware,HR,Requesting new mouse and keyboard
TCKT00143,2023-02-12 06:00:00,2023-02-12 17:00:00,High,Network,HR,Requesting new mouse and keyboard
TCKT00144,2023-01-26 15:00:00,2023-01-27 18:00:00,Low,Access Request,Support,Outlook not sending emails
TCKT00145,2023-02-03 13:00:00,2023-02-04 15:00:00,Medium,Software,Finance,Forgot Windows password
TCKT00146,2023-02-20 23:00:00,2023-02-21 19:00:00,High,Access Request,IT,Forgot Windows password
TCKT00147,2023-01-25 11:00:00,2023-01-26 08:00:00,High,Software,HR,Outlook not sending emails
TCKT00148,2023-01-19 07:00:00,2023-01-21 12:00:00,High,Software,Engineering,Need access to Jira
TCKT00149,2023-01-03 14:00:00,2023-01-05 18:00:00,Urgent,Network,HR,Requesting new mouse and keyboard
TCKT00150,2023-02-17 09:00:00,2023-02-19 09:00:00,Low,Software,Support,Laptop running slow
TCKT00151,2023-02-20 06:00:00,2023-02-21 19:00:00,Low,Network,Support,Laptop not booting up
TCKT00152,2023-03-07 03:00:00,2023-03-08 11:00:00,Urgent,Hardware,HR,System crash during deployment
TCKT00153,2023-01-07 21:00:00,2023-01-09 09:00:00,Low,Network,Engineering,Forgot Windows password
TCKT00154,2023-03-01 19:00:00,2023-03-03 11:00:00,High,Hardware,HR,Outlook not sending emails
TCKT00155,2023-01-10 17:00:00,2023-01-12 18:00:00,High,Bug Report,Engineering,Outlook not sending emails
TCKT00156,2023-01-21 20:00:00,2023-01-23 03:00:00,Urgent,Network,HR,WiFi is unstable in the office
TCKT00157,2023-03-10 06:00:00,2023-03-12 05:00:00,Urgent,Bug Report,IT,System crash during deployment
TCKT00158,2023-03-04 23:00:00,2023-03-06 16:00:00,Low,Network,HR,Need access to Jira
TCKT00159,2023-02-06 21:00:00,2023-02-07 04:00:00,Medium,Software,HR,Forgot Windows password
TCKT00160,2023-03-06 15:00:00,2023-03-06 18:00:00,Low,Bug Report,HR,Laptop not booting up
TCKT00161,2023-03-03 16:00:00,2023-03-04 19:00:00,Urgent,Bug Report,Engineering,Laptop running slow
TCKT00162,2023-03-04 00:00:00,2023-03-04 10:00:00,Medium,Software,Support,WiFi is unstable in the office
TCKT00163,2023-03-02 08:00:00,2023-03-02 21:00:00,High,Hardware,IT,Cannot connect to VPN
TCKT00164,2023-02-28 23:00:00,2023-03-02 05:00:00,Urgent,Access Request,HR,Outlook not sending emails
TCKT00165,2023-02-20 05:00:00,2023-02-22 17:00:00,High,Software,HR,Cannot connect to VPN
